name of city heb,city eng,street heb,,
?? ????             ,,??? ????,,
?? ????             ,,????,,
?? ????             ,,?????,,
?? ????             ,,????,,
?? ????             ,,???? ??????,,
?? ????             ,,?? ??,,
?? ????             ,,???,,
?? ????             ,,????,,
?? ????             ,,?????,,
,,,,
?? ??               ,GAN NER                  ,????,,
?? ??               ,,?????,,
?? ??               ,,????,,
?? ??               ,,?? ??,,
?? ??               ,,????,,
?? ??               ,,??? ???? ???,,
?? ??               ,,????,,
?? ??               ,,?????,,
?? ??               ,,???,,
?? ??               ,,?????,,
?? ??               ,,?????,,
?? ??               ,,????,,
?? ??               ,,?????,,
?? ??               ,,?????,,
?? ??               ,,????,,
?? ??               ,,????,,
?? ??               ,,????,,
?? ??               ,,?????,,
?? ??               ,,?????,,
?? ??               ,,?????,,
?? ??               ,,????,,
?? ??               ,,?????,,
?? ??               ,,??????,,
?? ??               ,,????,,
?? ??               ,,???,,
,,,,
?? ????             ,GAN SOREQ                ,?? ????,,
,,,,
?? ????             ,GAN SHELOMO              ,?? ????,,
,,,,
?? ?????            ,GAN SHEMU'EL             ,?? ?????,,
,,,,
????                ,GANNOT                   ,????,,
????                ,,????,,
????                ,,??????,,
????                ,,????,,
????                ,,????,,
????                ,,????,,
????                ,,?????,,
????                ,,?????,,
????                ,,??????,,
????                ,,?????,,
????                ,,?????,,
,,,,
???? ???            ,GANNOT HADAR             ,????? ????,,
???? ???            ,,???? ???,,
???? ???            ,,????????,,
???? ???            ,,????????,,
???? ???            ,,?????,,
???? ???            ,,???????,,
???? ???            ,,????,,
???? ???            ,,????????,,
???? ???            ,,???????,,
???? ???            ,,????,,
???? ???            ,,??????,,
???? ???            ,,????????,,
???? ???            ,,?????,,
???? ???            ,,??????,,
???? ???            ,,????????,,
???? ???            ,,?????,,
???? ???            ,,????????,,
???? ???            ,,??????,,
???? ???            ,,????????,,
???? ???            ,,???????,,
???? ???            ,,??????,,
???? ???            ,,???????,,
,,,,
??? ???             ,GANNE HADAR              ,??? ???,,
??? ???             ,,?????,,
,,,,
??? ??              ,Ganei Tal                         ,?????,,
??? ??              ,,??? ??,,
??? ??              ,,???,,
??? ??              ,,????,,
??? ??              ,,?????,,
??? ??              ,,??????,,
??? ??              ,,??????,,
??? ??              ,,???,,
??? ??              ,,??? ??????,,
??? ??              ,,?????,,
??? ??              ,,??? ????????,,
??? ??              ,,???? ????,,
??? ??              ,,?????,,
??? ??              ,,????,,
,,,,
??? ?????           ,GANNE YOHANAN            ,??? ?????,,
??? ?????           ,,????,,
??? ?????           ,,????,,
??? ?????           ,,??????,,
??? ?????           ,,??????,,
??? ?????           ,,??????,,
??? ?????           ,,??????,,
??? ?????           ,,???????,,
??? ?????           ,,?????,,
,,,,
??? ???????         ,GANNE MODIIN             ,??? ???,,
??? ???????         ,,???? ????,,
??? ???????         ,,??? ????,,
??? ???????         ,,?? ??? ??,,
??? ???????         ,,??? ????,,
??? ???????         ,,??? ???????,,
??? ???????         ,,????? ???,,
??? ???????         ,,??? ?????,,
??? ???????         ,,"????""?",,
??? ???????         ,,???? ???,,
??? ???????         ,,????? ???,,
??? ???????         ,,?? ????,,
??? ???????         ,,"???""? ????",,
??? ???????         ,,"????""?",,
??? ???????         ,,??? ???????,,
??? ???????         ,,??? ?????,,
??? ???????         ,,????? ????,,
??? ???????         ,,??? ?????,,
??? ???????         ,,"??""?",,
??? ???????         ,,"??""?",,
??? ???????         ,,????,,
??? ???????         ,,?? ??? ???????,,
??? ???????         ,,??? ???,,
??? ???????         ,,????? ???,,
??? ???????         ,,????? ?????,,
,,,,
??? ??              ,GANNE AM                 ,?????,,
??? ??              ,,????,,
??? ??              ,,??? ???,,
??? ??              ,,??? ??,,
??? ??              ,,??? ???,,
??? ??              ,,?????????,,
??? ??              ,,?????,,
??? ??              ,,???????,,
??? ??              ,,????,,
??? ??              ,,??? ???,,
??? ??              ,,???? ??,,
??? ??              ,,???????,,
??? ??              ,,???? ??????,,
,,,,
??? ?????           ,GANNE TIQWA              ,????,,
??? ?????           ,,??? ???,,
??? ?????           ,,???? ?????,,
??? ?????           ,,?????,,
??? ?????           ,,???? ?????,,
??? ?????           ,,???? ????? ?????,,
??? ?????           ,,??? ?????,,
??? ?????           ,,?????,,
??? ?????           ,,??? ?????,,
??? ?????           ,,??? ??????,,
??? ?????           ,,??? ??????,,
??? ?????           ,,??? ???,,
??? ?????           ,,??? ????,,
??? ?????           ,,??? ????,,
??? ?????           ,,??? ????,,
??? ?????           ,,??? ??????,,
??? ?????           ,,??? ??????,,
??? ?????           ,,???????,,
??? ?????           ,,?????????,,
??? ?????           ,,?????,,
??? ?????           ,,?????,,
??? ?????           ,,?????,,
??? ?????           ,,?????,,
??? ?????           ,,????,,
??? ?????           ,,????,,
??? ?????           ,,??????,,
??? ?????           ,,?????,,
??? ?????           ,,?????,,
??? ?????           ,,????,,
??? ?????           ,,????,,
??? ?????           ,,????? ?????,,
??? ?????           ,,??????,,
??? ?????           ,,?????,,
??? ?????           ,,?????,,
??? ?????           ,,?? ???,,
??? ?????           ,,?? ????,,
??? ?????           ,,??? ?????,,
??? ?????           ,,??? ???????,,
??? ?????           ,,??????,,
??? ?????           ,,????,,
??? ?????           ,,?????,,
??? ?????           ,,???,,
??? ?????           ,,?????,,
??? ?????           ,,?? ????,,
??? ?????           ,,????,,
??? ?????           ,,??????,,
??? ?????           ,,??? ?????,,
??? ?????           ,,?? ????,,
??? ?????           ,,?? ??????,,
??? ?????           ,,?? ?????,,
??? ?????           ,,?? ?????,,
??? ?????           ,,?? ??? ????,,
??? ?????           ,,?? ??? ??????,,
??? ?????           ,,?? ???,,
??? ?????           ,,?? ????,,
??? ?????           ,,?? ?? ??,,
??? ?????           ,,???? ??????,,
??? ?????           ,,??? ???,,
??? ?????           ,,??? ????,,
??? ?????           ,,??? ???,,
??? ?????           ,,??? ??????,,
??? ?????           ,,?????,,
??? ?????           ,,????? ?????,,
??? ?????           ,,????? ??? ???,,
??? ?????           ,,?????,,
??? ?????           ,,???? ???? ???,,
??? ?????           ,,????? ????,,
??? ?????           ,,???? ????,,
??? ?????           ,,???? ????,,
??? ?????           ,,???? ????,,
??? ?????           ,,? ???,,
??? ?????           ,,???? ??????,,
??? ?????           ,,?? ???????,,
??? ?????           ,,?? ????,,
??? ?????           ,,?? ??? ???,,
,,,,
???                 ,GA'ASH                   ,???,,
,,,,
?????               ,GA'TON                   ,?????,,
,,,,
???                 ,GEFEN                    ,???,,
,,,,
??????              ,GEROFIT                  ,??????,,
,,,,
????                ,GESHUR                   ,????,,
,,,,
???                 ,GESHER                   ,??? ????? ??????,,
???                 ,,???,,
,,,,
??? ????            ,GESHER HAZIW             ,??? ??? ?????,,
??? ????            ,,??? ????,,
??? ????            ,,??? ????,,
??? ????            ,,??? ???? ?????,,
??? ????            ,,????? ?????,,
??? ????            ,,???? ????,,
??? ????            ,,???? ????,,
??? ????            ,,???? ?????,,
??? ????            ,,???? ??????,,
??? ????            ,,???? ????,,
??? ????            ,,???? ?????,,
??? ????            ,,???? ?????,,
??? ????            ,,???? ?????,,
??? ????            ,,???? ???????,,
??? ????            ,,???? ??????,,
??? ????            ,,???? ?????,,
??? ????            ,,???? ?????,,
??? ????            ,,?? ???,,
??? ????            ,,?? ???,,
??? ????            ,,???? ???????,,
,,,,
?? (?????)          ,GAT(QIBBUZ)              ,?? (?????),,
,,,,
?? ?????            ,GAT RIMMON               ,??????,,
?? ?????            ,,?? ?????,,
?? ?????            ,,?????????,,
?? ?????            ,,?????,,
?? ?????            ,,?????,,
,,,,
????? ??-????       ,DALIYAT AL-KARMEL        ,?????,,
????? ??-????       ,,???????,,
????? ??-????       ,,???? ???????,,
????? ??-????       ,,???? ??????,,
????? ??-????       ,,???? ???? ????,,
????? ??-????       ,,????,,
????? ??-????       ,,?? ?'???,,
????? ??-????       ,,?? ????,,
????? ??-????       ,,?? ?? ??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????????',,
????? ??-????       ,,????'??,,
????? ??-????       ,,????'???,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????????,,
????? ??-????       ,,?????',,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,???'??,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'????,,
????? ??-????       ,,???'??,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'?????,,
????? ??-????       ,,???'????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????',,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????????,,
????? ??-????       ,,?????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,?????'????,,
????? ??-????       ,,????????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,???????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????'??,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????'???,,
????? ??-????       ,,????'??,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????'??,,
????? ??-????       ,,?????'?,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????'?,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???'??,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???'???,,
????? ??-????       ,,???'????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????'?,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????' ??????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,???????',,
????? ??-????       ,,?????,,
????? ??-????       ,,???????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???????,,
????? ??-????       ,,???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??? ??????,,
????? ??-????       ,,??? ???,,
????? ??-????       ,,???? ?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????'??,,
????? ??-????       ,,??????,,
????? ??-????       ,,??? ????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????? ???? ????,,
????? ??-????       ,,?'??? ?????,,
????? ??-????       ,,????? ??-????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????? ???????,,
????? ??-????       ,,???? ????,,
????? ??-????       ,,???? ?????,,
????? ??-????       ,,???? ????,,
????? ??-????       ,,????,,
????? ??-????       ,,????,,
????? ??-????       ,,????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?'??? ??????,,
????? ??-????       ,,?'?? ???????,,
????? ??-????       ,,?'?? ??????,,
????? ??-????       ,,?'?? ???'??,,
????? ??-????       ,,?'?? ????,,
????? ??-????       ,,?'?? ???,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,????,,
????? ??-????       ,,?????? ????????,,
????? ??-????       ,,????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?? ?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,???,,
????? ??-????       ,,???????,,
????? ??-????       ,,???? ???? ???'???,,
????? ??-????       ,,???? ?'??????,,
????? ??-????       ,,????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???? ?????,,
????? ??-????       ,,???' ????'??,,
????? ??-????       ,,???? ????,,
????? ??-????       ,,??'?? ??????,,
????? ??-????       ,,??'?? ???,,
????? ??-????       ,,?????,,
????? ??-????       ,,????? ???'????,,
????? ??-????       ,,???? ???'????,,
????? ??-????       ,,??? ????,,
????? ??-????       ,,??? ????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????,,
????? ??-????       ,,?????? ???? ??????,,
????? ??-????       ,,?????,,
????? ??-????       ,,??????,,
????? ??-????       ,,????? ????,,
????? ??-????       ,,????? ???,,
????? ??-????       ,,??? ???'???,,
????? ??-????       ,,?? 2,,
????? ??-????       ,,?? 6,,
????? ??-????       ,,???? ???????,,
????? ??-????       ,,??????,,
????? ??-????       ,,??? ???????,,
????? ??-????       ,,??? ????????,,
????? ??-????       ,,???,,
????? ??-????       ,,????,,
????? ??-????       ,,???,,
????? ??-????       ,,?? ???'????,,
????? ??-????       ,,??'? ????? ??????,,
????? ??-????       ,,?????'???,,
????? ??-????       ,,?????,,
????? ??-????       ,,????? ?????,,
????? ??-????       ,,????,,
????? ??-????       ,,????,,
????? ??-????       ,,???? ???????,,
????? ??-????       ,,???,,
????? ??-????       ,,????,,
????? ??-????       ,,??????,,
????? ??-????       ,,???? ????,,
????? ??-????       ,,???? ???'???,,
????? ??-????       ,,????,,
????? ??-????       ,,?? 20,,
????? ??-????       ,,?? 30,,
????? ??-????       ,,?? 11,,
????? ??-????       ,,?? 31,,
????? ??-????       ,,?? 12,,
????? ??-????       ,,?? 22,,
????? ??-????       ,,?? 32,,
????? ??-????       ,,?? 33,,
????? ??-????       ,,?? 34,,
????? ??-????       ,,?? 5,,
????? ??-????       ,,?? 15,,
????? ??-????       ,,?? 35,,
????? ??-????       ,,?? 16,,
????? ??-????       ,,?? 26,,
????? ??-????       ,,?? 36,,
????? ??-????       ,,?? 17,,
????? ??-????       ,,?? 27,,
????? ??-????       ,,?? 18,,
????? ??-????       ,,?? 28,,
????? ??-????       ,,?? 19,,
????? ??-????       ,,?? 29,,
????? ??-????       ,,??????,,
????? ??-????       ,,? ?? ?????,,
????? ??-????       ,,????????,,
????? ??-????       ,,???' ???? ????,,
????? ??-????       ,,???????,,
????? ??-????       ,,?? ????????,,
????? ??-????       ,,?? ???????,,
????? ??-????       ,,?? ???'???,,
????? ??-????       ,,?? ???????,,
????? ??-????       ,,?? ??????,,
????? ??-????       ,,?? ???????,,
????? ??-????       ,,?? ??? ?????,,
????? ??-????       ,,?? ???? ????,,
????? ??-????       ,,?? ?'?? ???'??,,
????? ??-????       ,,?? ?'?? ????,,
????? ??-????       ,,?? ?'?? ???,,
????? ??-????       ,,?? ?'??? ?????,,
????? ??-????       ,,?? ???' ????'??,,
????? ??-????       ,,?? ??'?? ??????,,
????? ??-????       ,,?? ??? ????????,,
????? ??-????       ,,????? ????????,,
????? ??-????       ,,???? ??????,,
????? ??-????       ,,?? ????,,
,,,,
?????               ,DEVORA                   ,?????,,
,,,,
??????              ,DABBURYE                 ,??????,,
,,,,
?????               ,DEVIRA                   ,?????,,
,,,,
????                ,DAVERAT                  ,????,,
,,,,
????? ?'            ,DEGANYA ALEF             ,????? ?',,
,,,,
????? ?'            ,DEGANYA BET              ,????? ?',,
,,,,
"???""?               ",DOVEV                    ,"???""?",,
,,,,
????                ,DOLEV                    ,????,,
,,,,
???                 ,DOR                      ,???,,
,,,,
?????               ,DOROT                    ,?????,,
,,,,
???                 ,DAHI                     ,???,,
,,,,
???? ??-???         ,DEIR AL-ASAD             ,??? ???,,
???? ??-???         ,,??? ????,,
???? ??-???         ,,??? ?'????,,
???? ??-???         ,,??? ????,,
???? ??-???         ,,??? ????,,
???? ??-???         ,,????'??,,
???? ??-???         ,,????????,,
???? ??-???         ,,???????,,
???? ??-???         ,,???????,,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???'??,,
???? ??-???         ,,???'???,,
???? ??-???         ,,?????,,
???? ??-???         ,,??????',,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???????,,
???? ??-???         ,,???'??,,
???? ??-???         ,,???'?'?,,
???? ??-???         ,,???'??,,
???? ??-???         ,,???'???,,
???? ??-???         ,,????????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???????,,
???? ??-???         ,,????? ??????,,
???? ??-???         ,,????????,,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???????,,
???? ??-???         ,,????'? ??????,,
???? ??-???         ,,?????'?,,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,?????,,
???? ??-???         ,,??????',,
???? ??-???         ,,?????'???,,
???? ??-???         ,,??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,???????,,
???? ??-???         ,,???????,,
???? ??-???         ,,??????,,
???? ??-???         ,,????????,,
???? ??-???         ,,?????' ?????,,
???? ??-???         ,,?????,,
???? ??-???         ,,????? ??? ????,,
???? ??-???         ,,?'??? ???,,
???? ??-???         ,,????? ???,,
???? ??-???         ,,???? ??-???,,
???? ??-???         ,,????? ??????,,
???? ??-???         ,,?'??? ??? ??????,,
???? ??-???         ,,???? ??? ????,,
???? ??-???         ,,?? ?????,,
???? ??-???         ,,??? ??????,,
???? ??-???         ,,??????,,
???? ??-???         ,,??'?? ?????,,
???? ??-???         ,,?'??? ?????,,
???? ??-???         ,,???? ?? ???'???,,
???? ??-???         ,,??? ??? ??? ????,,
???? ??-???         ,,??? ????????,,
???? ??-???         ,,???? ?????,,
???? ??-???         ,,?? ???????,,
???? ??-???         ,,?? ??????,,
???? ??-???         ,,?? ???'??,,
???? ??-???         ,,?? ?????,,
???? ??-???         ,,?? ??????',,
???? ??-???         ,,?? ?????'???,,
???? ??-???         ,,?? ??????,,
???? ??-???         ,,????? ????,,
,,,,
???? ???            ,DEIR HANNA               ,???? ???,,
,,,,
???? ?????          ,DEIR RAFAT               ,???? ?????,,
,,,,
??????              ,DIMONA                   ,??? ??????,,
??????              ,,??? ????,,
??????              ,,???,,
??????              ,,????,,
??????              ,,????,,
??????              ,,???? ???????,,
??????              ,,??? ???,,
??????              ,,???,,
??????              ,,???????,,
??????              ,,??????,,
??????              ,,????? ????,,
??????              ,,???,,
??????              ,,?? ?? ?? ??,,
??????              ,,?????,,
??????              ,,????????,,
??????              ,,???????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,??? ????,,
??????              ,,??? ?????,,
??????              ,,????,,
??????              ,,?? ?????,,
??????              ,,????,,
??????              ,,???????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,?? ??,,
??????              ,,????,,
??????              ,,????,,
??????              ,,"?""? ???? ???????",,
??????              ,,????? ??????,,
??????              ,,????? ????,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,??? ?????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,????????,,
??????              ,,???? ???,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,???,,
??????              ,,????,,
??????              ,,??? ????,,
??????              ,,??? ????,,
??????              ,,??? ????? ?????,,
??????              ,,??? ???????,,
??????              ,,??? ?????,,
??????              ,,??? ????,,
??????              ,,??? ???? ????,,
??????              ,,??? ????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,???? ?? ???,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,???? ???????,,
??????              ,,?????????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,???? ???,,
??????              ,,???? ???,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,???????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,????????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,???????,,
??????              ,,???????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ?????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ??????,,
??????              ,,?? ??,,
??????              ,,?? ????,,
??????              ,,?? ??????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ?????,,
??????              ,,?? ???,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ?????,,
??????              ,,?? ????,,
??????              ,,?? ?????,,
??????              ,,?? ?????,,
??????              ,,?? ???,,
??????              ,,?? ??,,
??????              ,,?? ????,,
??????              ,,?? ?????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,?? ????,,
??????              ,,??? ????????,,
??????              ,,??? ????? ???,,
??????              ,,??? ?????? ????????,,
??????              ,,??? ??????,,
??????              ,,??? ????,,
??????              ,,??? ????? ?????,,
??????              ,,??? ?????? ????,,
??????              ,,???? ?????????,,
??????              ,,????? ??????,,
??????              ,,???????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,???????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,???????,,
??????              ,,????? ??????,,
??????              ,,??????? ????,,
??????              ,,??????,,
??????              ,,???,,
??????              ,,???? ?????? ??????,,
??????              ,,????? ??????????,,
??????              ,,????? ?????,,
??????              ,,????? ?????,,
??????              ,,????? ????,,
??????              ,,????? ????,,
??????              ,,??? ???,,
??????              ,,??? ???,,
??????              ,,???,,
??????              ,,????,,
??????              ,,???,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,???,,
??????              ,,?????? ????,,
??????              ,,????,,
??????              ,,????? ??? ?????,,
??????              ,,????? ??????,,
??????              ,,????? ?????,,
??????              ,,????,,
??????              ,,????? ????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,???? ????? ?????,,
??????              ,,????? ??????,,
??????              ,,???????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,????? ????,,
??????              ,,??????,,
??????              ,,???? ??? ???,,
??????              ,,???? ??? ???,,
??????              ,,???? ???? ?????,,
??????              ,,??? ?????,,
??????              ,,??? ?'????????,,
??????              ,,???? ?????,,
??????              ,,???,,
??????              ,,??????? ????,,
??????              ,,???,,
??????              ,,?????,,
??????              ,,?????????,,
??????              ,,????,,
??????              ,,"?""? ????????",,
??????              ,,???? ??? ???,,
??????              ,,???? ????,,
??????              ,,???? ????,,
??????              ,,???? ????,,
??????              ,,???? ?????,,
??????              ,,???? ???,,
??????              ,,???,,
??????              ,,????,,
??????              ,,???? ?????,,
??????              ,,???? ????,,
??????              ,,???????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,????,,
??????              ,,???? ?????,,
??????              ,,????,,
??????              ,,???? ???,,
??????              ,,?????? ??????,,
??????              ,,?????,,
??????              ,,???? ????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,???? ?????,,
??????              ,,???? ???,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,??????,,
??????              ,,???? ??????,,
??????              ,,???? ?????,,
??????              ,,????,,
??????              ,,?????,,
??????              ,,????? ???,,
??????              ,,????? ?????,,
??????              ,,????? ??????,,
??????              ,,????? ???????,,
??????              ,,????? ?????,,
??????              ,,????? ?????,,
??????              ,,????? ??????,,
??????              ,,????? ????,,
??????              ,,????? ?????,,
??????              ,,????? ????,,
??????              ,,????? ????,,
??????              ,,?????? ????,,
??????              ,,???? ????,,
??????              ,,???? ????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,??? ????,,
??????              ,,??? ????,,
??????              ,,??? ????,,
??????              ,,??? ????,,
??????              ,,?????,,
??????              ,,????,,
??????              ,,???? ??????,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,???,,
??????              ,,?????,,
??????              ,,?????,,
??????              ,,"???? ??""?",,
??????              ,,???? ????,,
??????              ,,???? ???????,,
??????              ,,???? ????,,
??????              ,,??? ?????,,
??????              ,,"??""? ?????? ?????",,
??????              ,,?????,,
??????              ,,???,,
??????              ,,????,,
??????              ,,????,,
??????              ,,????? ?????,,
??????              ,,??????,,
??????              ,,??????,,
??????              ,,???????,,
??????              ,,??? ??????,,
??????              ,,??? ???? ????,,
??????              ,,??? ???? ????,,
??????              ,,????,,
??????              ,,???? ??????,,
??????              ,,???? ?????,,
??????              ,,???? ??????,,
??????              ,,??????,,
??????              ,,??? ???,,
??????              ,,??????,,
??????              ,,???? ?????,,
??????              ,,????,,
??????              ,,??????,,
??????              ,,?' ????? ???? ?????,,
??????              ,,???? ????? ????,,
??????              ,,????? ?????,,
??????              ,,????,,
??????              ,,????,,
??????              ,,????? ????,,
??????              ,,????,,
??????              ,,???,,
??????              ,,??????,,
??????              ,,???,,
??????              ,,????' ????? ?'?????,,
??????              ,,????' ?? ?????,,
??????              ,,????' ????? ?????,,
??????              ,,????' ????? ????,,
??????              ,,????' ??? ????,,
??????              ,,???? ?????,,
??????              ,,??????,,
??????              ,,?????? ???? ????,,
??????              ,,?????,,
